# file...... gen/Gen_4_Speed.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... diesel_dg 5
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.219801757082,+1.0148130601,-0.219881414629,+1.04108196765+79.6299557639d,+1.04207223303+78.3448529819d,+0+0d,+0+0d,+0+0d,+0.255772434882+58.3385340881d,+149998.915967,+50005.4044056,+150269.770041,+398.602944989,+398.602944989
2001-08-01 13:00:01.000000 PDT,+376.991118431,+0.219800996106,+1.01481317984,-0.219880603453,+1.04108202485+79.6299950199d,+1.04207223303+78.3448965826d,+2500.41868377+0.93856599229d,+2500.41868377-119.061434008d,+2500.41868377+120.938565992d,+0.255772245171+58.3382602501d,+149998.906944,+50005.3970167,+150269.355442,+398.601845229,+398.601845265
2001-08-01 13:00:01.001000 PDT,+376.991120791,+0.219800996106,+1.01481256373,-0.21988036209,+1.04108195204+79.629996149d,+1.04207142282+78.345037839d,+2500.4167397+0.938707248707d,+2500.4167397-119.061292751d,+2500.4167397+120.938707249d,+0.255842510987+58.2868061132d,+149998.906955,+50005.3970342,+150269.884642,+398.60324648,+398.58027088
2001-08-01 13:00:01.002000 PDT,+376.991132234,+0.21980099868,+1.01481098198,-0.219879628022,+1.04108175138+79.6299999853d,+1.04206974819+78.3452906583d,+2500.41272147+0.938960215421d,+2500.41272147-119.061039785d,+2500.41272147+120.938960215d,+0.255900724004+58.2204832253d,+149998.47591,+50070.8981701,+150271.559664,+398.607677516,+398.501019913
2001-08-01 13:00:01.003000 PDT,+376.991169087,+0.219801016683,+1.01480825895,-0.219878001596,+1.04108137979+79.6300095442d,+1.04206683776+78.3457305157d,+2500.40573798+0.93940110435d,+2500.40573798-119.060598896d,+2500.40573798+120.939401104d,+0.255910233363+58.1403358268d,+149985.847824,+50182.139566,+150274.926217,+398.616568608,+398.309033065
2001-08-01 13:00:01.004000 PDT,+376.991252442,+0.219801079794,+1.01480433003,-0.219875030906,+1.041080803+79.6300285564d,+1.0420624413+78.3464138656d,+2500.39518883+0.940088070208d,+2500.39518883-119.05991193d,+2500.39518883+120.94008807d,+0.255844190214+58.0477896371d,+149959.731544,+50327.5227865,+150280.4666,+398.631176789,+397.965683953
2001-08-01 13:00:01.005000 PDT,+376.991407591,+0.219801240439,+1.01479922274,-0.219870223516,+1.04107999491+79.6300614152d,+1.04205642042+78.3473785624d,+2500.38074193+0.941061971302d,+2500.38074193-119.058938029d,+2500.38074193+120.941061971d,+0.255685367439+57.9445616038d,+149914.749225,+50496.8377339,+150288.606429,+398.652604285,+397.44829111
2001-08-01 13:00:01.006000 PDT,+376.991663522,+0.219801578491,+1.01479303888,-0.219863055661,+1.04107893677+79.6301131245d,+1.04204870901+78.3486524033d,+2500.36223864+0.942355181164d,+2500.36223864-119.057644819d,+2500.36223864+120.942355181d,+0.255422282464+57.8323977315d,+149843.777124,+50681.4187866,+150299.720574,+398.681814791,+396.743385328
2001-08-01 13:00:01.007000 PDT,+376.992052334,+0.219802204966,+1.01478593861,-0.219852982492,+1.04107761646+79.6301892277d,+1.04203928892+78.3502578294d,+2500.33963543+0.943996501607d,+2500.33963543-119.056003498d,+2500.33963543+120.943996502d,+0.255047032358+57.7129126548d,+149739.624229,+50873.8595275,+150314.138396,+398.719647976,+395.842902433
2001-08-01 13:00:01.008000 PDT,+376.99260864,+0.219803264935,+1.01477812667,-0.219839448307,+1.04107602779+79.6302957281d,+1.04202817619+78.3522140182d,+2500.3129708+0.946013422143d,+2500.3129708-119.053986578d,+2500.3129708+120.946013422d,+0.254554209467+57.5875314589d,+149595.783873,+51067.8161817,+150332.148367,+398.766832351,+394.742319839
