# file...... oh/OH_line_100-450_Current.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... overhead_line 183
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A, current_out_B, current_out_C
2001-08-01 13:00:00 PDT,+3.1988675376e-09+46.0525392254d,+2.25469032087e-09+90.6096529897d,+1.32456747252e-09-111.436643237d
2001-08-01 13:00:01.000000 PDT,+2.61171454349e-09+99.5159460156d,+1.10494585431e-09-100.199535433d,+3.89735386662e-09-33.7283008698d
2001-08-01 13:00:01.001000 PDT,+4.77232839134e-10+20.3711249043d,+1.18165853039e-09-178.069535836d,+2.22177329257e-09-102.688352185d
2001-08-01 13:00:01.002000 PDT,+1.43510043076e-09+94.6483897108d,+1.61993083433e-09+73.9452374364d,+4.38843480748e-09-163.659521478d
2001-08-01 13:00:01.003000 PDT,+1.56598216864e-09+24.3056722573d,+2.83261418879e-09-10.0850819533d,+3.46496339855e-09-20.8434765902d
2001-08-01 13:00:01.004000 PDT,+1.42764158149e-10+34.5633574388d,+2.35294613926e-09-71.8370809465d,+4.22270571706e-09-175.963140157d
2001-08-01 13:00:01.005000 PDT,+1.79119759694e-09+174.104228788d,+1.15473195934e-09-11.9446653271d,+2.21633106376e-09-102.72427144d
2001-08-01 13:00:01.006000 PDT,+4.39995514949e-10-8.38779929647d,+1.98087705412e-09+110.483666146d,+4.22235588947e-09-175.916199763d
2001-08-01 13:00:01.007000 PDT,+1.46134816576e-09+5.37727041422d,+1.89726613461e-09-83.3634742947d,+2.21787541746e-09-102.753705286d
2001-08-01 13:00:01.008000 PDT,+2.31886339727e-09+93.6952998737d,+1.22972103696e-09+9.46538886298d,+4.22813362802e-09-175.885295372d
